nome,quantidade,unidade_medida
Tomate,1,kg
Batata inglesa,1,kg
Cebola,1,kg
Alho,1,kg
Cenoura,1,kg
Beterraba,1,kg
Chuchu,1,kg
Abobrinha,1,kg
Berinjela,1,kg
Pimentão verde,1,kg
Pimentão vermelho,1,kg
Quiabo,1,kg
Vagem,1,kg
Mandioca,1,kg
Batata-doce,1,kg
Inhame,1,kg
Abóbora,1,kg
Milho verde,1,un
Alface,1,un
Couve,1,un
Repolho,1,kg
Rúcula,1,un
Agrião,1,un
Cheiro-verde,1,un
Coentro,1,un
Banana prata,1,kg
Banana nanica,1,kg
Banana da terra,1,kg
Maçã,1,kg
Laranja pera,1,kg
Laranja lima,1,kg
Limão taiti,1,kg
Mexerica,1,kg
Mamão formosa,1,kg
Mamão papaia,1,kg
Melancia,1,kg
Melão,1,kg
Abacaxi,1,un
Manga,1,kg
Uva,1,kg
Goiaba,1,kg
Maracujá,1,kg
Abacate,1,kg
Pera,1,kg
Morango,1,un
Coco seco,1,un
Alcatra,1,kg
Picanha,1,kg
Contrafilé,1,kg
Filé mignon,1,kg
Fraldinha,1,kg
Maminha,1,kg
Coxão mole,1,kg
Coxão duro,1,kg
Patinho,1,kg
Acém,1,kg
Músculo,1,kg
Costela bovina,1,kg
Cupim,1,kg
Paleta bovina,1,kg
Carne moída,1,kg
Frango inteiro,1,kg
Peito de frango,1,kg
Coxa e sobrecoxa,1,kg
Asa de frango,1,kg
Coração de frango,1,kg
Fígado bovino,1,kg
Costela suína,1,kg
Bisteca suína,1,kg
Lombo suíno,1,kg
Pernil suíno,1,kg
Linguiça toscana,1,kg
Linguiça calabresa,1,kg
Linguiça de frango,1,kg
Bacon,1,kg
Torresmo,1,kg
Tilápia,1,kg
Pintado,1,kg
Sardinha fresca,1,kg
Camarão,1,kg
Queijo mussarela fatiado,1,kg
Queijo prato fatiado,1,kg
Queijo minas frescal,1,kg
Queijo minas curado,1,kg
Queijo coalho,1,kg
Requeijão de corte,1,kg
Presunto fatiado,1,kg
Mortadela fatiada,1,kg
Salame fatiado,1,kg
Apresuntado fatiado,1,kg
Pão francês,1,kg
Pão de queijo,1,kg
Pão doce,1,un
Pão de forma caseiro,1,un
Rosca,1,un
Sonho,1,un
Bolo simples,1,kg
Broa de fubá,1,un
Biscoito de polvilho,1,kg
Feijão carioca a granel,1,kg
Feijão preto a granel,1,kg
Arroz a granel,1,kg
Milho de pipoca a granel,1,kg
Amendoim a granel,1,kg
Castanha de caju a granel,1,kg
Castanha-do-pará a granel,1,kg
Nozes a granel,1,kg
Uva-passa a granel,1,kg
Açúcar a granel,1,kg
Farinha de mandioca a granel,1,kg
Farinha de milho a granel,1,kg
Fubá a granel,1,kg
Polvilho doce a granel,1,kg
Polvilho azedo a granel,1,kg
Canjica a granel,1,kg
Lentilha a granel,1,kg
Grão-de-bico a granel,1,kg
Soja a granel,1,kg
Ovo caipira,1,un
Ovo branco,1,un
Ovo vermelho,1,un
Rapadura,1,un
Paçoca,1,un
Pé de moleque,1,un
Queijo ralado a granel,1,kg
Azeitona a granel,1,kg
Ração a granel,1,kg
Carvão,1,kg
Gelo,1,kg
