gtin,nome,marca,quantidade,unidade_medida
7890000090810,Sequilho QUALITÁ Leite Condensado,Qualitá,200.0,g
7890000110266,Leite Condensado Semidesnatado ITALAC,Italac,395.0,g
7890000180146,Queijo Prato Fatiado Crioulo,Crioulo,150.0,g
7890001596243,Palitos de batata finos Airfryer!,McCain,1000.0,g
7890002007236,Creme De Leite Piracanjuba,Piracanjuba,200.0,g
7890010809587,Leite Desnatado Piracanjuba,Piracanjuba,1000.0,mL
7890014120725,Leite UHT Integral Qualitá Caixa com Tampa 1l,Qualitá,1000.0,mL
7890017981767,Sardinha Em Oléo 88 Lata 125g,88,125.0,g
7890106000751,Aveia Flocos Grossos Sem Glúten Casas Pedro - 200g,Casas Pedro,200.0,g
7890120202650,Ovomaltine Recheado,BrasilCacau,90.0,g
7890130202817,Trufa De Chocolate Suíço Ao Leite Lindt Lindor Caixa 112g 9 Unidades,LINDT LINDOR,112.0,g
7890130202848,Trufa De Chocolate Suíço Ao Leite Recheio Cremoso Coração Lindt Lindor Lata 50g 4 Unidades,LINDT LINDOR,50.0,g
7890130400725,Ovo De Páscoa Ao Leite Com Coelhos De Chocolate Lindt Caixa 125g,LINDT,125.0,g
7890130401050,Ovo De Páscoa Ao Leite Com Avelã Lindt Nocciolatte Caixa 350g,LINDT,350.0,g
7890130401173,Ovo De Páscoa Ao Leite Recheio Trufa De Chocolate Ao Leite Lindt Lindor Caixa 235g,LINDT LINDOR,235.0,g
7890130501354,Panettone Com Gotas De Chocolate Ao Leite Duplo Chocolate Lindt Caixa 400g,LINDT,400.0,g
78901612,Licor Amaretto Dellorso 700ml,AMARETTO DELL ORSO,700.0,mL
7890300018248,Fritz frida,,1000.0,g
7890300155929,Feijão Preto,Fritz & Frida,1000.0,g
7890300363614,Arroz Integral,Fritz & Frida,1000.0,g
7890300567203,Massa Caseira com Ovos Pappardelle,Fritz e Frida,400.0,g
7890300569856,Tapioca - Fritz Frida,Fritz Frida,500.0,g
7890300584637,Fritz frida,,400.0,g
7890300680308,Fritz frida,,400.0,g
7890300680322,Sagu de Mandioca Premium,Fritz e Frida,400.0,g
78903180,Sal Cisne Refinado Extra,Cisne,100.0,g
78903784,Sobremesa Láctea Chocolate Batavo Creamy Bandeja 180g 2 Unidades,BATAVO,180.0,g
78903791,Sobremesa Láctea Chocolate Branco Batavo Creamy Bandeja 180g 2 Unidades,BATAVO,180.0,g
7890515880517,Fininha Defumada Perdigão,,240.0,g
78906679,Requeijão cremoso,Ibiacão,250.0,g
78907188,Bombom Amor Carioca,Neugebauer,20.0,g
78907478,Talento Castanhas do Pará,"Garoto,Talento",25.0,g
78907485,Chocolate Cereales y Pasas mini,Talento,25.0,g
78907492,Talento Amêndoas e Passas,"Garoto,Talento",25.0,g
78908901,Refrigerante Coca Cola Garrafa 200ml,COCA-COLA,200.0,mL
7890914055851,Aubergine Parmigiana Ravioli,"Artisan Pastificio, La Tua Pasta",250.0,g
78909434,"Bombom Ferrero Rocher Pacote 37,5g",FERRERO ROCHER,37.5,g
7891000001080,Fórmula Infantil Ninho Fases 1+,NESTLE,400.0,g
7891000001516,Tradicional,"Nestlé,Nesfit",300.0,g
7891000001806,Creme de Aspargos,Maggi,70.0,g
7891000002186,Cereal Matinal Corn Flakes Caixa 240g,NESTLE,240.0,g
7891000003404,Composto Lácteo Ninho Fases 3+,"Nestlé,Ninho",400.0,g
7891000004616,Nesquik,Nestlé,400.0,g
7891000005422,Crema de leche,Nestlé,300.0,g
7891000006290,Café Com Leite Solúvel Nescafé Lata 300g,NESTLE,300.0,g
7891000006689,Tempero Granulado 7 Vegetais Maggi Meu Segredo Caixa 49g 7 Unidades,NESTLE,49.0,g
7891000008119,Nescau Cereal,Nestlé,270.0,g
7891000009437,Nescau,Nestlé,400.0,g
7891000011287,Cereal Infantil Arroz Mucilon Lata 400g,Nestlé,400.0,g
7891000011294,Cereal Infantil Milho Mucilon Lata 400g,NESTLE,400.0,g
7891000011300,Neston,Nestlé,400.0,g
7891000011553,Creme Queijo Maggi Pacote 78g,MAGGI,78.0,g
7891000012109,Cereal Infantil Arroz Mucilon Pacote 230g,NESTLE,230.0,g
7891000012123,Cereal Infantil Milho Mucilon Pacote 230g,NESTLE,230.0,g
7891000013922,Instant Strawberry Flavoured Drink Mix,,200.0,g
7891000016640,Farinha Láctea Nestlé,Nestlé,230.0,g
7891000018750,Bono,Nestlé,140.0,g
7891000023167,Bebida Láctea Uht Chocolate Light Nescau Caixa 200ml,NESTLE,200.0,mL
7891000023808,Biscoito Chocolate Recheio Baunilha Negresco Pacote 140g,NESTLE,140.0,g
7891000025123,Cappuccino Solúvel Negresco Nescafé Lata 180g,NEGRESCO,180.0,g
7891000026182,Sopão Costela Com Legumes Maggi Sachê 200g,NESTLE,200.0,g
7891000027967,Chamyto Big,"Chamyto, Nestlé, Dairy Partners Americas Brasil LTDA",120.0,g
7891000027974,Pack Leite Fermentado Desnatado Chamyto Big Frasco 720g 6 Unidades,CHAMYTO,720.0,g
7891000029329,Nescafé Tradição Forte,"Nescafé,Nestlé",100.0,g
7891000035610,Cereal Infantil Arroz Aveia Mucilon Pacote 230g,NESTLE,230.0,g
7891000035634,Cereal Infantil Multicereais Mucilon Pacote 230g,NESTLE,230.0,g
7891000035832,Multicereais,"Nestlé,Mucilon",400.0,g
7891000040898,Arroz & Aveia,"Nestlé,Mucilon",400.0,g
7891000042038,Nescafe classic,Nescafé,200.0,g
7891000049020,Papinha Banana E Aveia Naturnes Vidro 120g,NESTLE,120.0,g
7891000049051,"Sopinha Macarrão, Legumes E Peito De Frango Naturnes Vidro 115g",NESTLE,115.0,g
7891000049068,"Sopinha Carne, Legumes E Mandioquinha Naturnes Vidro 115g",NESTLE,115.0,g
7891000049099,"Sopinha Macarrão, Carne E Legumes Naturnes Vidro 115g",NESTLE,115.0,g
7891000049105,Papinha Frutas Sortidas Naturnes Vidro 120g,NESTLE,120.0,g
7891000049112,Papinha Maçã E Banana Naturnes Vidro 120g,NESTLE,120.0,g
7891000049143,Papinha Maçã Naturnes Vidro 120g,NESTLE,120.0,g
7891000049235,"Papinha Caldo De Feijão, Carne E Arroz Naturnes Vidro 170g",NESTLE,170.0,g
7891000049242,Sopinha Peito De Frango Com Legumes Naturnes Vidro 170g,NESTLE,170.0,g
7891000049259,"Sopinha Macarrão, Carne E Legumes Naturnes Vidro 170g",NESTLE,170.0,g
7891000049266,"Sopinha Beterraba, Feijão E Legumes Naturnes Vidro 115g",NESTLE,115.0,g
7891000049273,Sopinha Legumes Com Carne Naturnes Vidro 115g,NESTLE,115.0,g
7891000049280,Sopinha Legumes E Carne Naturnes Vidro 170g,NESTLE,170.0,g
7891000050880,Cereal Matinal Snow Flakes Sachê 120g,NESTLE,120.0,g
7891000050927,CEREAL MOCA FLAKES SACHET 120G NESTLE,NESTLE,120.0,g
7891000051351,Passatempo,Nestlé,140.0,g
7891000051436,BISC PASSATEMPO LEITE 150G NESTLE,Nestlé,150.0,g
7891000051474,Achocolatado Pó Light Nescau Lata 400g,NESTLE,400.0,g
7891000055922,Leite Condensado Integral Moça,Moça,395.0,g
7891000056523,Alim inf nestogeno lt,,400.0,g
7891000056615,Alim inf nestogeno 2 lt,,400.0,g
7891000060407,Nestlé Nesfit Integral,"Nestlé,Nestlé Brasil",170.0,g
7891000060421,Nesfit Gergelim,Nestlé,170.0,g
7891000061190,Nescau 2.0,"Nestlé,Nescau",200.0,g
7891000062043,Neston Flocos de 3 Cereais,Nestlé,240.0,g
7891000062661,Composto Lácteo Ninho Fases 1 Lata 800g,NESTLE,800.0,g
7891000062722,Fórmula Infantil Para Lactentes 1 Nestogeno Lata 800g,NESTLE,800.0,g
7891000062746,Formula Nan Pro 1,Nestlé,800.0,g
7891000062760,Fórmula Infantil Para Lactentes 2 Nestogeno Lata 800g,NESTLE,800.0,g
7891000062784,Formula Nan Pro 1,Nestlé,800.0,g
7891000066560,Integral,"Ninho,Nestlé",1000.0,mL
7891000066607,Leite UHT Desnatado,"Molico,Nestlé",1000.0,mL
7891000067178,Achocolatado Pó Nescau Pacote 800g Embalagem Econômica,NESTLE,800.0,g
7891000067253,Alpino,"Nestlé,Alpino",195.0,g
7891000068441,Biscoito Combina Com Seu Dia 3 Cereais,NESTLE,126.0,g
7891000068458,Biscoito Integral Nesfit Pacote 126g,NESFIT,126.0,g
7891000070444,Chamyto Nestlé,Nestlé Chamyto,450.0,g
7891000070673,Nescau Cereal,Nestlé,120.0,g
7891000070765,Leite em Pó Integral,"Nestlé,Ninho",800.0,g
7891000071397,Leite pó instantâneo,"Nestlé,Ninho",800.0,g
7891000071625,Fórmula Infantil Para Lactentes,Nestlé,800.0,g
7891000071823,Nescafe Classic Coffee,Nescafé,30.0,g
7891000072899,Crunch Cereal,Nestlé,330.0,g
7891000072974,Yogurte integral sabor mel,Nestle,170.0,g
7891000072998,iogurte desnatado com cenoura laranja e mel,NESTLE,170.0,g
7891000073018,Yogurte Natural Desnatado,Nestlé,160.0,g
7891000073100,Cereal Infantil Arroz E Aveia Mucilon Pacote 600g Embalagem Econômica,NESTLE,600.0,g
7891000073537,Nesquik Chocolate,"Nestlé,Nesquik",400.0,g
7891000076217,Levinho,"Nestlé,Ninho",1000.0,mL
7891000076392,Cappuccino Solúvel Tradicional Nescafé Lata 200g,NESCAFE,200.0,g
7891000076415,Cappuccino,"Nestlé,Nescafé",200.0,g
7891000076651,Nescafé,Nestlé,50.0,g
7891000077924,Biscoito Wafer Prestígio Nestlé Pacote 110g,NESTLE,110.0,g
7891000077948,BISC WAFER CLASSIC 110G NESTLE,Nestlé,110.0,g
7891000079393,Fórmula Infantil Para Lactentes Nan Espessar Lata 800g,NESTLE,800.0,g
7891000079515,Fórmula Infantil Para Lactentes Nan Comfor 2 Lata 800g,NESTLE,800.0,g
7891000080290,Cappuccino Tradicional,"Nestlé,Nescafé",200.0,g
7891000081211,Biscoito Wafer Recheio Morango Passatempo Pacote 20g,PASSATEMPO,20.0,g
7891000081242,Biscoito Wafer Recheio Chocolate Passatempo Pacote 20g,PASSATEMPO,20.0,g
7891000081501,Bebida Láctea Uht Chocolate Nescau Caixa 1l,NESTLE,1000.0,mL
7891000084663,requeijão,Nestlé,200.0,g
7891000085028,Frutas,"Nestlé,Nesfit",300.0,g
7891000085387,Nescafe,Nescafe,200.0,g
7891000086131,Cereal Infantil Multicereais Mucilon Pacote 600g Embalagem Econômica,NESTLE,600.0,g
7891000087794,Complemento alimentar Baunilha,"Nestlé,Nutren",350.0,g
7891000087817,Pó Para Preparo De Bebida Chocolate Nutren Kids Lata 350g,NESTLE,350.0,g
7891000089231,BISC RECH PRESTIGIO 140G NESTLE,"Nestlé,Prestigio",110.0,g
7891000089255,Moca,Nestlé,140.0,g
7891000089279,Biscoito Nescau,Nestle,140.0,g
7891000089859,Morango & Cereais,"Nestlé,Nesfit",200.0,g
7891000090732,Bebida Neston fast Vit 280ml,NESTLE,280.0,mL
7891000090893,Suflair Dark,Nestlé,30.0,g
7891000091616,Mel & Amêndoas,"Nestlé,Nesfit",300.0,g
7891000092606,Bombom Chocolate Recheio Leite Maltado Lollo Pacote 28g,LOLO,28.0,g
7891000092699,Iogurte Grego Frutas Vermelhas Nestlé Bandeja 400g 4 Unidades,NESTL,400.0,g
7891000094396,Iogurte Parcialmente Desnatado Morango Ninho Fruti 250g,NESTLE,250.0,g
